,Accepted_ID,Accepted_Name,Accepted_Species,Accepted_Species_ID,Accepted_Rank,powo_Snippet,try_Snippet,Compiled_Sources
10,547312-1,Strychnos matopensis,Strychnos matopensis,547312-1,Species," 1–3(4) mm. long, <b>Appearance</b>: , <b>Appearance</b>:  <em>pubescent</em>, <b>Inflorescence</b>: , <b>Leaf</b>:  or with a few <em>hairs</em> along the midrib and the margins towards the base, <b>Leaf</b>: Leaves with an appressed–<em>pubescent</em>, <em>pubescent</em>., not obviously lenticellate, not or hardly lenticellate, not sulcate when dry, often <em>hairy</em> like, short, spreading, with rather close",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547312-1)']
11,547340-1,Strychnos mitis,Strychnos mitis,547340-1,Species," 1–2.5 cm. long, 3-nerved from, <b>Appearance</b>:  glabrous or sometimes <em>pubescent</em>, <b>Inflorescence</b>:  dense, <b>Leaf</b>: , <b>Leaf</b>:  (if branchlets <em>hairy</em>) pubescent petiole; lamina shining and dark green, <em>pubescent</em> with short spreading hairs, glabrous or with angle <em>hairs</em> or pubescent beneath, glabrous or with angle hairs or <em>pubescent</em> beneath, pubescent with short spreading <em>hairs</em>, sulcate when dry.",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547340-1)']
12,547356-1,Strychnos myrtoides,Strychnos myrtoides,547356-1,Species," 0–2 x times branched. Peduncle and branches <em>pubescent</em>, <b>Appearance</b>:  slender, <b>Inflorescence</b>:  mm., <b>Inflorescence</b>:  with brown ascending <em>hairs</em>, <b>Leaf</b>: ; petiole 0·2–1(2) mm. long; <em>pubescent</em> with brown ascending hairs, <b>Leaf</b>: ; petiole 0·2–1(2) mm. long; pubescent with brown ascending <em>hairs</em>, <em>pubescent</em> with ascending brown hairs, especially at the base., pubescent with ascending brown <em>hairs</em>, terete or nearly so",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547356-1)']
13,547392-1,Strychnos panganensis,Strychnos panganensis,547392-1,Species," <b>Appearance</b>:  and not sulcate when dry; branchlets hirto–<em>pubescent</em>, <b>Inflorescence</b>:  (6–14 mm. and 3–7 mm. respectively), <b>Inflorescence</b>:  brown <em>hairs</em>; bracts and bracteoles narrowly lanceolate, <b>Leaf</b>:  at the base, <b>Leaf</b>: –<em>pubescent</em>, <em>pubescent</em> with ascending, acute., except for a few <em>hairs</em> on the costa beneath, glabrous, often, terete, up to 3 mm. long; lamina shining and dark green above",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547392-1)']
14,547430-1,Strychnos pungens,Strychnos pungens,547430-1,Species," <b>Appearance</b>:  <em>hairs</em>., <b>Leaf</b>:  or occasionally partly <em>pubescent</em> beneath; one pair of secondary veins from",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547430-1)']
15,547464-1,Strychnos scheffleri,Strychnos scheffleri,547464-1,Species," 2–6 cm. long, <b>Appearance</b>:  <em>hairs</em>, <b>Appearance</b>: Stems striate, <b>Inflorescence</b>: , <b>Leaf</b>:  at the base, <em>pubescent</em>., axillary, glabrous or <em>pubescent</em> on the midrib beneath, glabrous or sparsely <em>pubescent</em> with brown, not or rarely lenticellate; branchlets spreading at right",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547464-1)']
16,547485-1,Strychnos spinosa,Strychnos spinosa,547485-1,Species," <b>Appearance</b>:  or <em>pubescent</em>, <b>Inflorescence</b>: Cymes terminal; peduncle and pedicels spreading-<em>pubescent</em>., <b>Leaf</b>:  more <em>hairy</em>, <b>Leaf</b>:  on main axis subcordate at the base, <b>Leaf</b>: . long, glabrous or <em>pubescent</em>; lamina coriaceous also when living, green or brown, green or yellow–green when fresh, often with <em>hair</em> pockets, smaller and cordate); 1–3 pairs of distinct",,['POWO pages(/taxon/urn:lsid:ipni.org:names:547485-1)']
17,547543-1,Strychnos usambarensis,Strychnos usambarensis,547543-1,Species, <b>Appearance</b>:  when dry; branchlets glabrous or shortly <em>pubescent</em>,,['POWO pages(/taxon/urn:lsid:ipni.org:names:547543-1)']
18,77112473-1,Strychnos jacarepiensis,Strychnos jacarepiensis,77112473-1,Species," <b>Appearance</b>: , <b>Inflorescence</b>:  <em>pubescent</em> at apex; stamens with filaments villous, <em>pubescent</em> or glabrescent; leaf-blade 4.2 – 7.6 × 1.9 – 4.2&nbsp;cm, dorsifixed",,['POWO pages(/taxon/urn:lsid:ipni.org:names:77112473-1)']
19,1001365-1,Dubautia syndetica,Dubautia syndetica,1001365-1,Species,,Pubescence (ascending hairs or papillae):SparselyPubescent,"['TRY (Blonder, B., Baldwin, B., Enquist, B.J., Robichaux, R.H. (2016) Variation and macroevolution in leaf functional traits in the Hawaiian silversword alliance (Asteraceae). Journal of Ecology 104:219\x96228 DOI: 10.1111/1365-2745.12497)']"
20,1003096-1,Larix griffithii var. speciosa,Larix griffithii,50922021-1,Variety,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
21,100468-1,Periploca laevigata,Periploca laevigata,100468-1,Species,,"Leaf hairiness: bottom:some hairs,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
22,1005418-1,Salix sinica,Salix sinica,1005418-1,Species,,Leaf hairiness:abundant hairs at least on one leaf side,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
23,1008766-1,Schnabelia terniflora,Schnabelia terniflora,1008766-1,Species,,"Leaf hairiness: bottom:densely hairy,Leaf hairiness: top:some hairs","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
24,1008767-1,Tripora divaricata,Tripora divaricata,1008767-1,Species,,Leaf hairiness:abundant hairs at least on one leaf side,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
25,1014622-1,Hylodesmum podocarpum,Hylodesmum podocarpum,1014622-1,Species,,"Leaf hairiness: bottom:some hairs,Leaf pubescence:adaxial and abaxial,Leaf pubescent: bottom:yes,Leaf pubescent: top:yes","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
26,1014623-1,Hylodesmum podocarpum subsp. fallax,Hylodesmum podocarpum,1014622-1,Subspecies,,"Leaf pubescence:abaxial,Leaf pubescent: bottom:yes","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
27,1015340-1,Gamblea ciliata var. evodiifolia,Gamblea ciliata,90502-1,Variety,,Leaf hairiness:midrib/veins,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
28,1018499-1,Lonicera alpigena subsp. glutinosa,Lonicera alpigena,148602-1,Subspecies,,"Leaf hairiness: bottom:densely hairy,Leaf hairiness: top:densely hairy,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
29,1024084-2,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,1024084-2,Species,,"Leaf hairiness: bottom:some hairs,Leaf hairiness: top:some hairs","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
30,1027403-2,Holodiscus discolor,Holodiscus discolor,1027403-2,Species,,"Leaf hairiness: bottom:some hairs,Leaf hairiness: top:some hairs,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
31,102983-1,Vincetoxicum sibiricum,Vincetoxicum sibiricum,102983-1,Species,,Leaf pubescent: bottom:yes,"['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
32,103927-1,Impatiens rubrostriata,Impatiens rubrostriata,103927-1,Species,,Leaf pubescence:adaxial,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
33,1039541-2,Rhododendron lapponicum,Rhododendron lapponicum,1039541-2,Species,,"Leaf hairiness: top:some hairs,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
34,105770-2,Fraxinus americana,Fraxinus americana,105770-2,Species,,"Leaf hairiness: bottom:densely hairy,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
35,105864-2,Fraxinus pennsylvanica,Fraxinus pennsylvanica,105864-2,Species,,"Leaf hairiness: bottom:some hairs,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
36,105892-2,Fraxinus profunda,Fraxinus profunda,105892-2,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
37,106335-3,Rubus alceifolius,Rubus alceifolius,106335-3,Species,,Leaf pubescence:adaxial and abaxial,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
38,106473-1,Berberis brachypoda,Berberis brachypoda,106473-1,Species,,"Leaf hairiness: bottom:densely hairy,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
39,1067586-2,Petasites japonicus,Petasites japonicus,1067586-2,Species,,Leaf pubescence:midrib/veins,"['TRY (Wang, Han; Harrison, Sandy P; Prentice, Iain Colin; Yang, Yanzheng; Bai, Fan; Furstenau Togashi, Henrique; Wang, Meng; Zhou, Shuangxi; Ni, Jian (2017): The China Plant Trait Database. PANGAEA, https://doi.org/10.1594/PANGAEA.871819)']"
40,106800-1,Berberis julianae,Berberis julianae,106800-1,Species,,"Leaf hairiness: bottom:some hairs,Leaf hairiness:abundant hairs at least on one leaf side","['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
41,10698-2,Amaranthus retroflexus,Amaranthus retroflexus,10698-2,Species,,"Leaf hairiness: bottom:yes,Leaf hairiness: top:yes,Leaf hairiness:adaxial and abaxial,Leaf pubescence:adaxial and abaxial,Leaf pubescent: bottom:yes,Leaf pubescent: top:yes,Stem hairy:yes,Stem pubescent:yes","['TRY (Prentice, I.C., Meng, T., Wang, H., Harrison, S.P., Ni, J., Wang, G., 2011. Evidence for a universal scaling relationship of leaf CO2 drawdown along a moisture gradient. New Phytologist 190: 169\x96180)']"
42,107136-1,Berberis thunbergii,Berberis thunbergii,107136-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
43,107660-1,Alnus ferdinandi-coburgii,Alnus ferdinandi-coburgii,107660-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
44,107679-1,Alnus lanata,Alnus lanata,107679-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
45,107701-1,Alnus trabeculosa,Alnus trabeculosa,107701-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
46,107733-1,Betula calcicola,Betula calcicola,107733-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
47,107946-1,Carpinus chuniana,Carpinus chuniana,107946-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
48,107956-1,Carpinus fargesiana,Carpinus fargesiana,107956-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
49,107959-1,Carpinus firmifolia,Carpinus firmifolia,107959-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
50,107963-1,Carpinus hebestroma,Carpinus hebestroma,107963-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
51,107964-1,Carpinus henryana,Carpinus henryana,107964-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
52,107969-1,Carpinus kawakamii,Carpinus kawakamii,107969-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
53,107971-1,Carpinus kweichowensis,Carpinus kweichowensis,107971-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
54,107981-1,Carpinus mollicoma,Carpinus mollicoma,107981-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
55,107983-1,Carpinus monbeigiana,Carpinus monbeigiana,107983-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
56,107986-1,Carpinus omeiensis,Carpinus omeiensis,107986-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
57,107993-1,Carpinus putoensis,Carpinus putoensis,107993-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
58,107995-1,Carpinus rankanensis,Carpinus rankanensis,107995-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
59,107996-1,Carpinus rupestris,Carpinus rupestris,107996-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
60,107998-1,Carpinus shensiensis,Carpinus shensiensis,107998-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
61,108004-1,Carpinus tientaiensis,Carpinus tientaiensis,108004-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
62,108032-1,Corylus wangii,Corylus wangii,108032-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
63,108033-1,Corylus yunnanensis,Corylus yunnanensis,108033-1,Species,,Leaf hairiness: bottom:some hairs,"['TRY (Wirth, C. and J. W. Lichstein. 2009. The Imprint of Species Turnover on Old-Growth Forest Carbon Balances - Insights From a Trait-Based Model of Forest Dynamics. Pages 81-113 in C. Wirth, G. Gleixner, and M. Heimann, editors. Old-Growth Forests: Function, Fate and Value. Springer, New York, Berlin, Heidelberg.)']"
